OBJECTID,sug,nashir,gil,koter,status,sivug,water,hibur,X,Y,X_google,Y_google
31064,,,,,,,,,181590.5996,573050.0653,34.80692715,31.24841673
31065,,,,,,,,,181593.7359,573092.4741,34.80695847,31.24879932
31066,,,,,,,,,181600.7876,573082.2477,34.80703289,31.24870732
31067,,,,,,,,,181600.3761,573078.5557,34.80702871,31.248674
31068,,,,,,,,,181597.4834,573078.0856,34.80699836,31.24866967
31069,,,,,,,,,181593.0996,573070.5651,34.80695262,31.2486017
31070,,,,,,,,,181595.3821,573084.8097,34.80697604,31.24873025
31071,,,,,,,,,181641.8875,573080.1756,34.80746442,31.24868996
31072,,,,,,,,,181583.9155,573152.977,34.8068531,31.24934467
31073,,,,,,,,,181628.4773,573139.4327,34.80732141,31.24922396
31074,,,,,,,,,181626.1819,573142.1351,34.80729721,31.24924826
31075,,,,,,,,,181625.5426,573118.4008,34.80729139,31.24903418
31076,,,,,,,,,181625.5476,573138.2545,34.8072907,31.24921324
31077,,,,,,,,,181624.7556,573135.456,34.80728249,31.24918798
31078,,,,,,,,,181606.5387,573138.8562,34.80709112,31.24921805
31079,,,,,,,,,181606.7962,573131.9664,34.80709409,31.24915592
31080,,,,,,,,,181642.4994,573141.8326,34.80746852,31.24924606
31081,,,,,,,,,181633.1175,573139.6088,34.80737011,31.2492257
31082,,,,,,,,,181635.6755,573142.1142,34.80739687,31.24924838
31083,,,,,,,,,181642.2099,573113.3004,34.80746655,31.24898872
31084,,,,,,,,,181629.1094,573172.87,34.80732678,31.24952555
31085,,,,,,,,,181639.2687,573175.9855,34.80743331,31.24955398
31086,,,,,,,,,181636.3705,573162.8135,34.80740339,31.24943509
31087,,,,,,,,,181705.8193,573105.827,34.80813459,31.24892338
31088,,,,,,,,,181668.3674,573063.5999,34.80774302,31.24854132
31089,,,,,,,,,181670.1328,573040,34.80776244,31.24832853
31090,,,,,,,,,181674.4686,573045.7877,34.80780774,31.24838087
31091,,,,,,,,,181683.2215,573058.5489,34.80789915,31.24849625
31092,,,,,,,,,181674.2664,573094.4896,34.80780378,31.24882011
31093,,,,,,,,,181674.1104,573100.9551,34.8078019,31.24887841
31094,,,,,,,,,181672.4706,573080.859,34.80778545,31.24869711
31095,,,,,,,,,181656.7921,573079.8273,34.8076209,31.2486873
